Scene_ID,Date,Season,Quadrat_ID,Mining_type,Scene_Cloud_Pct,Window_Valid_Fraction_Pct,Predeclared_Threshold_Pct,Retained_For_Analysis,Exclusion_Reason
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,UG-Q2,Underground,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,UG-Q3,Underground,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,UG-Q4,Underground,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,UG-Q5,Underground,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,OC-Q1,Opencast,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,OC-Q2,Opencast,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,OC-Q3,Opencast,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,OC-Q4,Opencast,4.28,100.0,80.0,True,None
S2A_44QPK_20240613_0_L2A,2024-06-13,Monsoon,OC-Q5,Opencast,4.28,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,UG-Q1,Underground,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,UG-Q2,Underground,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,UG-Q3,Underground,4.11,86.78,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,UG-Q4,Underground,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,UG-Q5,Underground,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,OC-Q1,Opencast,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,OC-Q2,Opencast,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,OC-Q3,Opencast,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,OC-Q4,Opencast,4.11,100.0,80.0,True,None
S2B_44QPK_20241006_0_L2A,2024-10-06,Monsoon,OC-Q5,Opencast,4.11,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,UG-Q1,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,UG-Q2,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,UG-Q3,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,UG-Q4,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,UG-Q5,Underground,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,OC-Q1,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,OC-Q2,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,OC-Q3,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,OC-Q4,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20241120_0_L2A,2024-11-20,Winter,OC-Q5,Opencast,0.0,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,UG-Q1,Underground,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,UG-Q2,Underground,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,UG-Q3,Underground,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,UG-Q4,Underground,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,UG-Q5,Underground,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,OC-Q1,Opencast,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,OC-Q2,Opencast,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,OC-Q3,Opencast,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,OC-Q4,Opencast,0.49,100.0,80.0,True,None
S2A_44QPK_20241230_0_L2A,2024-12-30,Winter,OC-Q5,Opencast,0.49,100.0,80.0,True,None
