Quadrat_ID,Mining_type,Spatial_Zone,NDVI_Monsoon,NDVI_Summer,NDVI_Winter,EVI_Monsoon,EVI_Summer,EVI_Winter,NDRE_Monsoon,NDRE_Summer,NDRE_Winter,NDWI_Monsoon,NDWI_Summer,NDWI_Winter,NDWI_Moisture_Monsoon,NDWI_Moisture_Summer,NDWI_Moisture_Winter,RedEdge_Slope_Monsoon,RedEdge_Slope_Summer,RedEdge_Slope_Winter,SWIR_Ratio_Monsoon,SWIR_Ratio_Summer,SWIR_Ratio_Winter,Delta_NDVI_Monsoon_minus_Summer,Delta_NDVI_Winter_minus_Monsoon,Delta_NDRE_Monsoon_minus_Summer,Delta_NDRE_Winter_minus_Monsoon,Seasonal_NDVI_Amplitude,Winter_to_Monsoon_Ratio,Summer_to_Monsoon_Ratio,Winter_to_Monsoon_NDRE_Ratio
UG-Q1,Underground,Zone_A_10m,0.5186999999999999,0.3169,0.5776,0.37649999999999995,0.1933,0.3496,0.22855,0.06989999999999999,0.26565,-0.49585,-0.4248,-0.5542,0.038149999999999996,-0.1318,-0.0025000000000000005,0.26865,0.12045,0.25555,1.4258000000000002,1.2485,1.47005,0.2018,0.0589,0.1587,0.0371,0.2018,1.1136,0.6109,1.1623
UG-Q1,Underground,Zone_B_50m,0.42035,0.2517,0.4165,0.308,0.16335,0.25434999999999997,0.22725,0.10325000000000001,0.23070000000000002,-0.44289999999999996,-0.353,-0.46805,0.024749999999999994,-0.12975,-0.0208,0.25565,0.1144,0.2388,1.39655,1.2401,1.43455,0.1687,-0.0039,0.124,0.0035,0.1687,0.9908,0.5988,1.0152
UG-Q1,Underground,Zone_C_50m,0.3921,0.2238,0.3806,0.28700000000000003,0.1469,0.23315,0.23525,0.11305000000000001,0.23285,-0.43484999999999996,-0.3431,-0.45425,0.017099999999999997,-0.13155,-0.03905,0.24705,0.1099,0.2213,1.3752,1.2272,1.40965,0.1683,-0.0115,0.1222,-0.0024,0.1683,0.9707,0.5708,0.9898
UG-Q1,Underground,Zone_D_100m,0.4379,0.2454,0.42665,0.3239,0.1582,0.26244999999999996,0.26615,0.12555,0.2571,-0.46935,-0.36119999999999997,-0.49035,0.0405,-0.1258,-0.0205,0.2685,0.1188,0.23945,1.42685,1.2393,1.45235,0.1925,-0.0113,0.1406,-0.0091,0.1925,0.9743,0.5604,0.966
UG-Q2,Underground,Zone_A_10m,0.5943,0.3819,0.5354,0.3839,0.22205000000000003,0.2601,0.34855,0.1741,0.1842,-0.53935,-0.4448,-0.56985,0.11689999999999999,-0.11105000000000001,0.0378,0.35155,0.16575,0.28845,1.6165,1.3409499999999999,1.60595,0.2124,-0.0589,0.1745,-0.1644,0.2124,0.9009,0.6426,0.5285
UG-Q2,Underground,Zone_B_50m,0.5468500000000001,0.31394999999999995,0.4908,0.38345,0.19285000000000002,0.28290000000000004,0.3511,0.1609,0.25855,-0.52545,-0.38875,-0.5204,0.10704999999999999,-0.11760000000000001,0.0151,0.33840000000000003,0.1489,0.2589,1.5773,1.30435,1.54475,0.2329,-0.0561,0.1902,-0.0926,0.2329,0.8975,0.5741,0.7364
UG-Q2,Underground,Zone_C_50m,0.5141,0.2716,0.41764999999999997,0.36395,0.1718,0.2471,0.3244,0.14205,0.23845,-0.5056,-0.35934999999999995,-0.47765,0.09595000000000001,-0.1226,-0.0141,0.323,0.13355,0.2232,1.533,1.2721,1.46685,0.2425,-0.0965,0.1824,-0.086,0.2425,0.8124,0.5283,0.735
UG-Q2,Underground,Zone_D_100m,0.4751,0.24975,0.3746,0.3409,0.16260000000000002,0.22735,0.3088,0.13355,0.23005,-0.48145,-0.34205,-0.45135000000000003,0.08495,-0.11745,-0.0299,0.3066,0.1283,0.21055000000000001,1.4896500000000001,1.26045,1.4195,0.2254,-0.1005,0.1753,-0.0788,0.2254,0.7885,0.5257,0.745
UG-Q3,Underground,Zone_A_10m,0.55255,0.4777,0.46465,0.29105000000000003,0.25970000000000004,0.17945,0.2502,0.26095,0.11030000000000001,-0.47235000000000005,-0.44315000000000004,-0.4202,0.1343,-0.002800000000000002,0.119,0.22260000000000002,0.1769,0.2117,1.5096500000000002,1.37785,1.5824500000000001,0.0748,-0.0879,-0.0108,-0.1399,0.0748,0.8409,0.8645,0.4408
UG-Q3,Underground,Zone_B_50m,0.40049999999999997,0.2739,0.34865,0.2758,0.1623,0.1856,0.23155,0.15465,0.15755000000000002,-0.3605,-0.27785,-0.3503,0.0987,-0.05215,0.07565,0.21705,0.1302,0.17754999999999999,1.49355,1.37535,1.5234,0.1266,-0.0518,0.0769,-0.074,0.1266,0.8705,0.6839,0.6804
UG-Q3,Underground,Zone_C_50m,0.33015,0.19569999999999999,0.3035,0.23785,0.12419999999999999,0.16754999999999998,0.18635,0.08460000000000001,0.15400000000000003,-0.3125,-0.2138,-0.33345,0.058300000000000005,-0.0911,0.035500000000000004,0.2084,0.1033,0.1635,1.46415,1.3555000000000001,1.4454,0.1345,-0.0267,0.1017,-0.0323,0.1345,0.9193,0.5928,0.8264
UG-Q3,Underground,Zone_D_100m,0.34850000000000003,0.22110000000000002,0.3129,0.24705,0.13885,0.18425,0.20495000000000002,0.1005,0.18385,-0.35285,-0.2676,-0.36665000000000003,0.046,-0.0877,0.00805,0.2274,0.1259,0.17595,1.44465,1.32465,1.4137,0.1274,-0.0356,0.1045,-0.0211,0.1274,0.8978,0.6344,0.897
UG-Q4,Underground,Zone_A_10m,0.6267,0.4656,0.5770500000000001,0.4246,0.3062,0.33965,0.3774,0.27759999999999996,0.37424999999999997,-0.58565,-0.47665,-0.55705,0.1163,-0.02835,0.11585,0.3624,0.2359,0.3264,1.5966,1.40455,1.6358000000000001,0.1611,-0.0496,0.0998,-0.0032,0.1611,0.9208,0.7429,0.9917
UG-Q4,Underground,Zone_B_50m,0.59205,0.43455,0.54645,0.39795,0.27425,0.30725,0.3676,0.2584,0.34604999999999997,-0.55025,-0.45230000000000004,-0.5328999999999999,0.11614999999999999,-0.0184,0.11105000000000001,0.35885,0.23945,0.3184,1.5956000000000001,1.39365,1.6449,0.1575,-0.0456,0.1092,-0.0216,0.1575,0.923,0.734,0.9414
UG-Q4,Underground,Zone_C_50m,0.5881000000000001,0.4456,0.5238499999999999,0.37885,0.27490000000000003,0.28415,0.36445000000000005,0.2649,0.32345,-0.55025,-0.45155,-0.5143,0.12195,-0.00040000000000000105,0.1094,0.3647,0.255,0.3214,1.58775,1.4035,1.63925,0.1425,-0.0643,0.0996,-0.041,0.1425,0.8907,0.7577,0.8875
UG-Q4,Underground,Zone_D_100m,0.511,0.36935,0.4619,0.3405,0.22915000000000002,0.2637,0.31685,0.2195,0.28965,-0.49355000000000004,-0.39795,-0.4778,0.0751,-0.03485,0.0453,0.31305,0.21655000000000002,0.26990000000000003,1.4517,1.31535,1.4694500000000001,0.1416,-0.0491,0.0974,-0.0272,0.1416,0.9039,0.7228,0.9142
UG-Q5,Underground,Zone_A_10m,0.45694999999999997,0.26475,0.3988,0.31985,0.14889999999999998,0.2372,0.28335,0.1301,0.31065,-0.4394,-0.29165,-0.43515000000000004,0.08884999999999998,-0.13195,0.1111,0.31475,0.1246,0.31855,1.4498000000000002,1.2024,1.52995,0.1922,-0.0581,0.1532,0.0273,0.1922,0.8727,0.5794,1.0963
UG-Q5,Underground,Zone_B_50m,0.5035000000000001,0.24945,0.53785,0.3549,0.13905,0.31765,0.31955,0.1195,0.35975,-0.47915,-0.30574999999999997,-0.5177,0.10719999999999999,-0.11829999999999999,0.1397,0.3329,0.13774999999999998,0.35125,1.50665,1.2348,1.6329,0.2541,0.0343,0.2,0.0402,0.2541,1.0682,0.4954,1.1258
UG-Q5,Underground,Zone_C_50m,0.5482,0.25955,0.6118,0.38855,0.14585,0.36595,0.3473,0.12440000000000001,0.39305,-0.5152,-0.32520000000000004,-0.5641499999999999,0.12639999999999998,-0.11935,0.18030000000000002,0.35385,0.1402,0.38085,1.57675,1.2545000000000002,1.7732,0.2886,0.0636,0.2229,0.0458,0.2886,1.116,0.4735,1.1317
UG-Q5,Underground,Zone_D_100m,0.5730999999999999,0.26835,0.6577,0.40995000000000004,0.15455000000000002,0.399,0.36275,0.13385,0.40785000000000005,-0.53485,-0.34025,-0.59125,0.1382,-0.12619999999999998,0.21235,0.36325,0.13665,0.39125,1.6452499999999999,1.271,1.9131,0.3047,0.0846,0.2289,0.0451,0.3047,1.1476,0.4682,1.1243
