Quadrat_ID,Mining_type,Tree_Stem_No,Reported_Scientific_Name,Accepted_Scientific_Name_POWO,Family,Growth_Form,GBH_m,Height_m,Primary_Source_Sheet,Observation_Tier,Confidence
UG-Q3,Underground,3,Ficus virens,Ficus virens Aiton,Moraceae,Tree (Deciduous),0.8,5.6,"Dissertation Appendix A, Table 12",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q3,Underground,4,Madhuca longifolia,Madhuca longifolia (J.Koenig ex L.) J.F.Macbr.,Sapotaceae,Tree (Deciduous),0.24,2.5,"Dissertation Appendix A, Table 12",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q3,Underground,5,Shorea robusta,Shorea robusta Gaertn.,Dipterocarpaceae,Tree (Climax dominant semi-deciduous),3.7,15.89,"Dissertation Appendix A, Table 12",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q3,Underground,6,Ficus virens,Ficus virens Aiton,Moraceae,Tree (Deciduous),0.83,5.8,"Dissertation Appendix A, Table 12",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q4,Underground,1,Diospyros melanoxylon,Diospyros melanoxylon Roxb.,Ebenaceae,Tree (Deciduous),3.2,11.8,"Dissertation Appendix A, Table 13",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q4,Underground,2,Mangifera indica,Mangifera indica L.,Anacardiaceae,Tree (Large evergreen),3.38,12.2,"Dissertation Appendix A, Table 13",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q4,Underground,3,Ficus religiosa,Ficus religiosa L.,Moraceae,Tree (Large semi-evergreen),4.75,15.7,"Dissertation Appendix A, Table 13",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q4,Underground,4,Diospyros melanoxylon,Diospyros melanoxylon Roxb.,Ebenaceae,Tree (Deciduous),2.8,11.9,"Dissertation Appendix A, Table 13",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q5,Underground,1,Alstonia scholaris,Alstonia scholaris (L.) R.Br.,Apocynaceae,Tree (Evergreen),1.6,8.5,"Dissertation Appendix A, Table 14",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q5,Underground,2,Tectona grandis,Tectona grandis L.f.,Lamiaceae,Tree (Deciduous timber),0.8,2.4,"Dissertation Appendix A, Table 14",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q5,Underground,3,Terminalia tomentosa,Terminalia elliptica Willd.,Combretaceae,Tree (Large deciduous),0.6,9.3,"Dissertation Appendix A, Table 14",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q5,Underground,4,Ziziphus mauritiana,Ziziphus mauritiana Lam.,Rhamnaceae,Small tree / Thorny shrub (Deciduous),1.3,7.0,"Dissertation Appendix A, Table 14",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
UG-Q5,Underground,5,Terminalia tomentosa,Terminalia elliptica Willd.,Combretaceae,Tree (Large deciduous),1.1,9.5,"Dissertation Appendix A, Table 14",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,1,Tectona grandis,Tectona grandis L.f.,Lamiaceae,Tree (Deciduous timber),2.1,5.86,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,2,Gmelina arborea,Gmelina arborea Roxb. ex Sm.,Lamiaceae,Tree (Deciduous plantation),0.4,4.63,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,3,Gmelina arborea,Gmelina arborea Roxb. ex Sm.,Lamiaceae,Tree (Deciduous plantation),0.5,3.53,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,4,Eucalyptus tereticornis,Eucalyptus tereticornis Sm.,Myrtaceae,Tree (Evergreen plantation),1.21,8.94,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,5,Eucalyptus tereticornis,Eucalyptus tereticornis Sm.,Myrtaceae,Tree (Evergreen plantation),0.9,8.71,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,6,Gmelina arborea,Gmelina arborea Roxb. ex Sm.,Lamiaceae,Tree (Deciduous plantation),0.32,1.2,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,7,Eucalyptus tereticornis,Eucalyptus tereticornis Sm.,Myrtaceae,Tree (Evergreen plantation),1.33,8.64,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q1,Opencast,8,Gmelina arborea,Gmelina arborea Roxb. ex Sm.,Lamiaceae,Tree (Deciduous plantation),1.35,3.2,"Dissertation Appendix A, Table 15",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q2,Opencast,1,Ficus benghalensis,Ficus benghalensis L.,Moraceae,Tree (Large evergreen),2.56,13.7,"Dissertation Appendix A, Table 16",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q2,Opencast,2,Carissa carandas,Carissa carandas L.,Apocynaceae,Large thorny shrub / small tree,2.0,7.3,"Dissertation Appendix A, Table 16",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q2,Opencast,3,Millingtonia hortensis,Millingtonia hortensis L.f.,Bignoniaceae,Tree (Evergreen ornamental/avenue),1.78,8.4,"Dissertation Appendix A, Table 16",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q2,Opencast,4,Butea monosperma,Butea monosperma (Lam.) Taub.,Fabaceae,Tree (Deciduous),0.42,2.3,"Dissertation Appendix A, Table 16",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q3,Opencast,1,Diospyros melanoxylon,Diospyros melanoxylon Roxb.,Ebenaceae,Tree (Deciduous),1.6,13.7,"Dissertation Appendix A, Table 17",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q3,Opencast,2,Pongamia pinnata,Pongamia pinnata (L.) Pierre,Fabaceae,Tree (Semi-evergreen plantation),0.5,2.5,"Dissertation Appendix A, Table 17",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q3,Opencast,3,Pongamia pinnata,Pongamia pinnata (L.) Pierre,Fabaceae,Tree (Semi-evergreen plantation),0.4,2.0,"Dissertation Appendix A, Table 17",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q3,Opencast,4,Bauhinia vahlii,Phanera vahlii (Wight & Arn.) Benth. (syn. Bauhinia vahlii),Fabaceae,Giant woody climber / Liana,0.32,3.0,"Dissertation Appendix A, Table 17",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q3,Opencast,5,Pongamia pinnata,Pongamia pinnata (L.) Pierre,Fabaceae,Tree (Semi-evergreen plantation),2.1,6.1,"Dissertation Appendix A, Table 17",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q3,Opencast,6,Pongamia pinnata,Pongamia pinnata (L.) Pierre,Fabaceae,Tree (Semi-evergreen plantation),0.4,2.1,"Dissertation Appendix A, Table 17",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q3,Opencast,7,Pongamia pinnata,Pongamia pinnata (L.) Pierre,Fabaceae,Tree (Semi-evergreen plantation),0.41,2.3,"Dissertation Appendix A, Table 17",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,1,Mangifera indica,Mangifera indica L.,Anacardiaceae,Tree (Large evergreen),1.0,2.8,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,2,Holarrhena antidysenterica,Holarrhena pubescens Wall. ex G.Don (syn. H. antidysenterica),Apocynaceae,Shrub / Small tree (Deciduous subcanopy),0.7,8.3,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,3,Mangifera indica,Mangifera indica L.,Anacardiaceae,Tree (Large evergreen),2.7,5.4,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,4,Holarrhena antidysenterica,Holarrhena pubescens Wall. ex G.Don (syn. H. antidysenterica),Apocynaceae,Shrub / Small tree (Deciduous subcanopy),0.4,6.7,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,5,Eucalyptus tereticornis,Eucalyptus tereticornis Sm.,Myrtaceae,Tree (Evergreen plantation),1.8,11.6,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,6,Holarrhena antidysenterica,Holarrhena pubescens Wall. ex G.Don (syn. H. antidysenterica),Apocynaceae,Shrub / Small tree (Deciduous subcanopy),0.6,4.3,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,7,Holarrhena antidysenterica,Holarrhena pubescens Wall. ex G.Don (syn. H. antidysenterica),Apocynaceae,Shrub / Small tree (Deciduous subcanopy),1.1,6.2,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q4,Opencast,8,Holarrhena antidysenterica,Holarrhena pubescens Wall. ex G.Don (syn. H. antidysenterica),Apocynaceae,Shrub / Small tree (Deciduous subcanopy),0.56,5.1,"Dissertation Appendix A, Table 18",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q5,Opencast,1,Ficus racemosa,Ficus racemosa L.,Moraceae,Tree (Deciduous/semi-evergreen),0.3,1.9,"Dissertation Appendix A, Table 19",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q5,Opencast,2,Tamarindus indica,Tamarindus indica L.,Fabaceae,Tree (Large evergreen),0.56,3.2,"Dissertation Appendix A, Table 19",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q5,Opencast,3,Tamarindus indica,Tamarindus indica L.,Fabaceae,Tree (Large evergreen),0.34,3.7,"Dissertation Appendix A, Table 19",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q5,Opencast,4,Mangifera indica,Mangifera indica L.,Anacardiaceae,Tree (Large evergreen),2.7,6.8,"Dissertation Appendix A, Table 19",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q5,Opencast,5,Tamarindus indica,Tamarindus indica L.,Fabaceae,Tree (Large evergreen),0.8,4.6,"Dissertation Appendix A, Table 19",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
OC-Q5,Opencast,6,Tamarindus indica,Tamarindus indica L.,Fabaceae,Tree (Large evergreen),0.76,5.1,"Dissertation Appendix A, Table 19",Tier 1: Measured In-Plot Field Stems,High (Direct field quadrat measurement)
