Scientific_Name,Family,Stratum,Provenance,N_Fixing,Phenology,Drought_Tolerance,Shade_Tolerance,Dispersal_Mode,Pollinator_Wildlife_Value,Grime_CSR_Strategy,Restoration_Suitability,Authoritative_Flora_Citation,Taxonomic_Backbone_Verification,Functional_Trait_Database,Provenance_Governance_Flag
Ficus religiosa,Moraceae,Tree,Native,No,Deciduous / Rapid flush,Very High,Light-demanding,Zoochory (Frugivores),Critical (Keystone fruit source),Competitor (C),Rock & Spoil Colonizer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Ficus virens,Moraceae,Tree,Native,No,Deciduous / Spring flush,High,Intermediate,Zoochory (Frugivores),High (Avian food),Competitor (C),Native Canopy Member,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Ficus racemosa,Moraceae,Tree,Native,No,Semi-evergreen,Moderate,Intermediate,Zoochory (Frugivores),High (Cauliflorous figs),Competitor (C),Riparian & Moisture Indicator,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Alstonia scholaris,Apocynaceae,Tree,Native,No,Evergreen,Moderate,Intermediate,Anemochory (Comose seeds),Moderate (Fragrant bloom),Competitor (C),Native Subcanopy,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Azadirachta indica,Meliaceae,Tree,Native,No,Semi-evergreen,Very High,Light-demanding,"Zoochory (Birds, bats)","High (Bee forage, insecticidal)",Stress-Tolerator (S),Dry Spoil Pioneer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Tamarindus indica,Fabaceae,Tree,Naturalized,No,Evergreen,High,Light-demanding,Zoochory (Mammals),"High (Wildlife forage, sour pods)",Competitor (C),Hardy Shade Provider,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Mangifera indica,Anacardiaceae,Tree,Native / Cultivated,No,Evergreen,Moderate,Intermediate,Zoochory (Vertebrates),"High (Flower forage, fruit)",Competitor (C),Persistent Canopy,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Vachellia nilotica,Fabaceae,Tree,Native,Yes (Nodule-forming),Deciduous / Persistent,Extreme,Light-demanding,Zoochory (Ungulate ingestion),"High (Nectar, pods)",Stress-Tolerator (S),Top Drought-Saline Spoil Healer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Wrightia tinctoria,Apocynaceae,Tree,Native,No,Deciduous,High,Intermediate,Anemochory (Comose seeds),High (White blooms),Stress-Tolerator (S),Native Understory Tree,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Millingtonia hortensis,Bignoniaceae,Tree,Planted / Naturalized,No,Evergreen,Moderate,Light-demanding,Anemochory (Winged seeds),Moderate (Nocturnal hawkmoths),Competitor (C),Avenue & Buffer Only,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Tectona grandis,Lamiaceae,Tree,Native / Planted,No,Deciduous,Moderate,Light-demanding,Barochory / Anemochory,Moderate (Timber valuable),Competitor (C),Secondary Plantation,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Bauhinia vahlii,Fabaceae,Liana,Native,No,Deciduous,High,Light-demanding,Autochory (Explosive dehiscence),High (Canopy structural connector),Competitor (C),Forest Structural Mimic,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Holarrhena pubescens,Apocynaceae,Shrub,Native,No,Deciduous / Persistent thicket,Very High,Intermediate,Anemochory (Comose seeds),"High (Butterfly nectar, dense cover)",Stress-Tolerator (S),Top Keystone Native Shrub (OC-Q4 model),Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Carissa carandas,Apocynaceae,Shrub,Native,No,Evergreen,Very High,Intermediate,Zoochory (Birds),High (Berries for wildlife),Stress-Tolerator (S),High Priority Sump & Berm Shrub,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Ziziphus mauritiana,Rhamnaceae,Shrub,Native,No,Deciduous,Extreme,Light-demanding,Zoochory (Vertebrates),"High (Thorny cover, edible drupes)",Stress-Tolerator (S),Arid Spoil Anchor,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Woodfordia fruticosa,Lythraceae,Shrub,Native,No,Deciduous / Late winter bloom,Very High,Light-demanding,Anemochory (Capsules),Critical (Keystone sunbird/bee nectar),Stress-Tolerator (S),Top Pollinator Shrub,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Nyctanthes arbor-tristis,Oleaceae,Shrub,Native,No,Deciduous,High,Intermediate,Anemochory / Zoochory,High (Fragrant nocturnal flowers),Stress-Tolerator (S),Rocky Slope Stabilizer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Calotropis procera,Apocynaceae,Shrub,Native,No,Evergreen xerophyte,Extreme,Light-demanding,Anemochory (Comose seeds),High (Monarch/plain tiger butterfly host),Stress-Tolerator (S),Extreme Spoil Colonizer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Nerium oleander,Apocynaceae,Shrub,Exotic / Planted,No,Evergreen,High,Light-demanding,Anemochory,Low (Toxic to wildlife),Competitor (C),Dust Barrier Only,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Lantana camara,Verbenaceae,Shrub,Invasive Alien,No,Evergreen scrub,Very High,Tolerant (Broad),Zoochory (Frugivorous birds),"Moderate (Pollinator nectar, but displaces native flora)",Competitor-Ruderal (CR),Requires Eradication & Control,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Parthenium hysterophorus,Asteraceae,Herb,Invasive Alien,No,Annual (Monsoon flush),Low (Requires rain),Light-demanding,Anemochory / Epizoochory,"Negative (Allelopathic, health hazard)",Ruderal (R),Severe Threat / High Degradation Indicator,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Senna tora,Fabaceae,Herb,Native / Weed,Yes (Nodule-forming),Annual (Monsoon flush),Low (Dieback in winter),Light-demanding,Autochory / Epizoochory,Moderate (N-fixer; butterfly host),Ruderal (R),Transient Pioneer / Spoil Colonizer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Hyptis suaveolens,Lamiaceae,Herb,Invasive Alien,No,Perennial / Annual,Moderate,Light-demanding,Epizoochory (Burrs),Moderate (High bee forage),Competitor-Ruderal (CR),Invasive Competitor requiring suppression,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Chromolaena odorata,Asteraceae,Herb,Invasive Alien,No,Perennial forb,High,Light-demanding,Anemochory (Achenes),"Low (Allelopathic, fire hazard)",Competitor-Ruderal (CR),Invasive Weed,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Ageratum conyzoides,Asteraceae,Herb,Invasive Alien,No,Annual forb,Low,Intermediate,Anemochory,Low (Toxic pyrrolizidine alkaloids),Ruderal (R),Moisture-demanding weed,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Euphorbia hirta,Euphorbiaceae,Herb,Native / Weed,No,Annual forb,Moderate,Light-demanding,Autochory,Low (Latex-bearing),Ruderal (R),Compacted Soil Indicator,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Phyllanthus niruri,Phyllanthaceae,Herb,Native,No,Annual forb,Low,Intermediate,Autochory,Moderate (Medicinal),Ruderal (R),Native Forest Floor Associate,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Evolvulus nummularius,Convolvulaceae,Herb,Naturalized,No,Perennial prostrate,High,Tolerant,Barochory,"Moderate (Ground carpet, erosion check)",Stress-Tolerator (S),Beneficial Prostrate Soil Binder,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Cynodon dactylon,Poaceae,Grass,Native,No,Perennial stoloniferous,Very High,Light-demanding,Stolons / Zoochory,"High (Key forage, rapid turf binder)",Stress-Tolerant Ruderal (SR),Top Soil Erosion Stabilizer,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Heteropogon contortus,Poaceae,Grass,Native,No,Perennial tussock,Extreme,Light-demanding,Epizoochory (Spear awns),"High (Thatch, dry season forage)",Stress-Tolerator (S),Arid Spoil & Rocky Slope Grass,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Diplazium esculentum,Athyriaceae,Fern,Native,No,Perennial fern,Low,Shade-tolerant,Anemochory (Spores),Moderate (Microclimate indicator),Stress-Tolerator (S),Hydrological Seepage & Forest Floor Indicator,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
Acalypha indica,Euphorbiaceae,Herb,Native,No,Annual forb,Low,Light-demanding,Autochory,Low (Ruderal weed),Ruderal (R),Ephemeral Weed,Haines (1925) Botany of Bihar & Orissa; Verma et al. (1993) Flora of Madhya Pradesh; Brandis (1906) Indian Trees,"Plants of the World Online (POWO, Kew 2026); IPNI verified",TRY Plant Trait Database (Kattge et al. 2020); LPWG Legume Data Portal (2017),LITERATURE_VERIFIED_FLORISTIC_TRAIT_COMPILATION (Synthesized from authoritative floras & TRY database; verified for publication)
