Landscape_Class,Site_ID,Site_Name,Subsample_Quadrat_ID,Quadrat_Size,Latitude,Longitude,Elevation_m,Slope_deg,Aspect,Topographic_Microstratum,Inter_Quadrat_Spacing_m,Geological_Substrate,Design_Role,Statistical_Status
Underground Mining,UG-SITE-03,Surakachhar Colliery (East Block Incline),UG-SITE-03-Q02,10 m x 10 m (100 m2),22.404786,82.634195,293.0,4.2,North-East,Mid-Slope (Upper),60,Barakar Formation (Coarse sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-03,Surakachhar Colliery (East Block Incline),UG-SITE-03-Q03,10 m x 10 m (100 m2),22.405283,82.633661,290.6,3.8,East,Mid-Slope (Lower),60,Barakar Formation (Coarse sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-03,Surakachhar Colliery (East Block Incline),UG-SITE-03-Q04,10 m x 10 m (100 m2),22.40587,82.634341,287.9,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Barakar Formation (Coarse sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-03,Surakachhar Colliery (East Block Incline),UG-SITE-03-Q05,10 m x 10 m (100 m2),22.406367,82.633807,286.1,1.5,Depression,Drainage / Swale Margin,60,Barakar Formation (Coarse sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-04,Dhelwadih Colliery (Mechanized North Section),UG-SITE-04-Q01,10 m x 10 m (100 m2),22.4312,82.6485,289.0,3.5,North,Upper Crest / Ridge,0,Barakar Formation (Carbonaceous shale interbeds),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-04,Dhelwadih Colliery (Mechanized North Section),UG-SITE-04-Q02,10 m x 10 m (100 m2),22.431787,82.648791,286.9,4.2,North-East,Mid-Slope (Upper),60,Barakar Formation (Carbonaceous shale interbeds),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-04,Dhelwadih Colliery (Mechanized North Section),UG-SITE-04-Q03,10 m x 10 m (100 m2),22.432284,82.648257,284.5,3.8,East,Mid-Slope (Lower),60,Barakar Formation (Carbonaceous shale interbeds),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-04,Dhelwadih Colliery (Mechanized North Section),UG-SITE-04-Q04,10 m x 10 m (100 m2),22.432871,82.648937,281.8,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Barakar Formation (Carbonaceous shale interbeds),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-04,Dhelwadih Colliery (Mechanized North Section),UG-SITE-04-Q05,10 m x 10 m (100 m2),22.433368,82.648403,280.0,1.5,Depression,Drainage / Swale Margin,60,Barakar Formation (Carbonaceous shale interbeds),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-05,Singhali / Bagdeva Colliery (North Sector),UG-SITE-05-Q01,10 m x 10 m (100 m2),22.4612,82.5921,318.5,3.5,North,Upper Crest / Ridge,0,Barakar / Raniganj transition,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-05,Singhali / Bagdeva Colliery (North Sector),UG-SITE-05-Q02,10 m x 10 m (100 m2),22.461787,82.592391,316.4,4.2,North-East,Mid-Slope (Upper),60,Barakar / Raniganj transition,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-05,Singhali / Bagdeva Colliery (North Sector),UG-SITE-05-Q03,10 m x 10 m (100 m2),22.462284,82.591857,314.0,3.8,East,Mid-Slope (Lower),60,Barakar / Raniganj transition,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-05,Singhali / Bagdeva Colliery (North Sector),UG-SITE-05-Q04,10 m x 10 m (100 m2),22.462871,82.592537,311.3,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Barakar / Raniganj transition,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Underground Mining,UG-SITE-05,Singhali / Bagdeva Colliery (North Sector),UG-SITE-05-Q05,10 m x 10 m (100 m2),22.463368,82.592003,309.5,1.5,Depression,Drainage / Swale Margin,60,Barakar / Raniganj transition,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-01,Gevra Opencast Project (External Dump No. 4),OC-SITE-01-Q01,10 m x 10 m (100 m2),22.356579,82.57891,298.5,3.5,North,Upper Crest / Ridge,0,Overburden Spoil (Crushed sandstone/shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-01,Gevra Opencast Project (External Dump No. 4),OC-SITE-01-Q02,10 m x 10 m (100 m2),22.357166,82.579201,296.4,4.2,North-East,Mid-Slope (Upper),60,Overburden Spoil (Crushed sandstone/shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-01,Gevra Opencast Project (External Dump No. 4),OC-SITE-01-Q03,10 m x 10 m (100 m2),22.357663,82.578667,294.0,3.8,East,Mid-Slope (Lower),60,Overburden Spoil (Crushed sandstone/shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-01,Gevra Opencast Project (External Dump No. 4),OC-SITE-01-Q04,10 m x 10 m (100 m2),22.35825,82.579347,291.3,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Overburden Spoil (Crushed sandstone/shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-01,Gevra Opencast Project (External Dump No. 4),OC-SITE-01-Q05,10 m x 10 m (100 m2),22.358747,82.578813,289.5,1.5,Depression,Drainage / Swale Margin,60,Overburden Spoil (Crushed sandstone/shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-02,Dipka Opencast Project (West Overburden Complex),OC-SITE-02-Q01,10 m x 10 m (100 m2),22.3182,82.5345,305.0,3.5,North,Upper Crest / Ridge,0,Overburden Spoil with alluvial silt deposits,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-02,Dipka Opencast Project (West Overburden Complex),OC-SITE-02-Q02,10 m x 10 m (100 m2),22.318787,82.534791,302.9,4.2,North-East,Mid-Slope (Upper),60,Overburden Spoil with alluvial silt deposits,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-02,Dipka Opencast Project (West Overburden Complex),OC-SITE-02-Q03,10 m x 10 m (100 m2),22.319284,82.534257,300.5,3.8,East,Mid-Slope (Lower),60,Overburden Spoil with alluvial silt deposits,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-02,Dipka Opencast Project (West Overburden Complex),OC-SITE-02-Q04,10 m x 10 m (100 m2),22.319871,82.534937,297.8,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Overburden Spoil with alluvial silt deposits,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-02,Dipka Opencast Project (West Overburden Complex),OC-SITE-02-Q05,10 m x 10 m (100 m2),22.320368,82.534403,296.0,1.5,Depression,Drainage / Swale Margin,60,Overburden Spoil with alluvial silt deposits,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-03,Kusmunda Opencast Project (North Overburden Dump),OC-SITE-03-Q01,10 m x 10 m (100 m2),22.3245,82.6812,308.4,3.5,North,Upper Crest / Ridge,0,Coarse Sandstone Boulder Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-03,Kusmunda Opencast Project (North Overburden Dump),OC-SITE-03-Q02,10 m x 10 m (100 m2),22.325087,82.681491,306.3,4.2,North-East,Mid-Slope (Upper),60,Coarse Sandstone Boulder Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-03,Kusmunda Opencast Project (North Overburden Dump),OC-SITE-03-Q03,10 m x 10 m (100 m2),22.325584,82.680957,303.9,3.8,East,Mid-Slope (Lower),60,Coarse Sandstone Boulder Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-03,Kusmunda Opencast Project (North Overburden Dump),OC-SITE-03-Q04,10 m x 10 m (100 m2),22.326171,82.681637,301.2,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Coarse Sandstone Boulder Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-03,Kusmunda Opencast Project (North Overburden Dump),OC-SITE-03-Q05,10 m x 10 m (100 m2),22.326668,82.681103,299.4,1.5,Depression,Drainage / Swale Margin,60,Coarse Sandstone Boulder Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-04,Manikpur Opencast Mine (Exhausted Void Plantation),OC-SITE-04-Q01,10 m x 10 m (100 m2),22.3312,82.7215,292.0,3.5,North,Upper Crest / Ridge,0,Weathered Overburden and Fly Ash Amendments,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-04,Manikpur Opencast Mine (Exhausted Void Plantation),OC-SITE-04-Q02,10 m x 10 m (100 m2),22.331787,82.721791,289.9,4.2,North-East,Mid-Slope (Upper),60,Weathered Overburden and Fly Ash Amendments,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-04,Manikpur Opencast Mine (Exhausted Void Plantation),OC-SITE-04-Q03,10 m x 10 m (100 m2),22.332284,82.721257,287.5,3.8,East,Mid-Slope (Lower),60,Weathered Overburden and Fly Ash Amendments,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-04,Manikpur Opencast Mine (Exhausted Void Plantation),OC-SITE-04-Q04,10 m x 10 m (100 m2),22.332871,82.721937,284.8,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Weathered Overburden and Fly Ash Amendments,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-04,Manikpur Opencast Mine (Exhausted Void Plantation),OC-SITE-04-Q05,10 m x 10 m (100 m2),22.333368,82.721403,283.0,1.5,Depression,Drainage / Swale Margin,60,Weathered Overburden and Fly Ash Amendments,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-05,Saraipali Opencast Project (Northeast Concession),OC-SITE-05-Q01,10 m x 10 m (100 m2),22.385,82.752,314.0,3.5,North,Upper Crest / Ridge,0,Raw Sandstone/Carbonaceous Shale Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-05,Saraipali Opencast Project (Northeast Concession),OC-SITE-05-Q02,10 m x 10 m (100 m2),22.385587,82.752291,311.9,4.2,North-East,Mid-Slope (Upper),60,Raw Sandstone/Carbonaceous Shale Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-05,Saraipali Opencast Project (Northeast Concession),OC-SITE-05-Q03,10 m x 10 m (100 m2),22.386084,82.751757,309.5,3.8,East,Mid-Slope (Lower),60,Raw Sandstone/Carbonaceous Shale Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-05,Saraipali Opencast Project (Northeast Concession),OC-SITE-05-Q04,10 m x 10 m (100 m2),22.386671,82.752437,306.8,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Raw Sandstone/Carbonaceous Shale Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Opencast Mining,OC-SITE-05,Saraipali Opencast Project (Northeast Concession),OC-SITE-05-Q05,10 m x 10 m (100 m2),22.387168,82.751903,305.0,1.5,Depression,Drainage / Swale Margin,60,Raw Sandstone/Carbonaceous Shale Overburden,Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-01,"Katghora Range (North Hasdeo Forest, Compt. 142)",REF-SITE-01-Q01,10 m x 10 m (100 m2),22.505,82.518,312.4,3.5,North,Upper Crest / Ridge,0,Lower Gondwana Barakar (In situ weathering),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-01,"Katghora Range (North Hasdeo Forest, Compt. 142)",REF-SITE-01-Q02,10 m x 10 m (100 m2),22.505587,82.518291,310.3,4.2,North-East,Mid-Slope (Upper),60,Lower Gondwana Barakar (In situ weathering),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-01,"Katghora Range (North Hasdeo Forest, Compt. 142)",REF-SITE-01-Q03,10 m x 10 m (100 m2),22.506084,82.517757,307.9,3.8,East,Mid-Slope (Lower),60,Lower Gondwana Barakar (In situ weathering),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-01,"Katghora Range (North Hasdeo Forest, Compt. 142)",REF-SITE-01-Q04,10 m x 10 m (100 m2),22.506671,82.518437,305.2,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Lower Gondwana Barakar (In situ weathering),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-01,"Katghora Range (North Hasdeo Forest, Compt. 142)",REF-SITE-01-Q05,10 m x 10 m (100 m2),22.507168,82.517903,303.4,1.5,Depression,Drainage / Swale Margin,60,Lower Gondwana Barakar (In situ weathering),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-02,Lemru Elephant Reserve (Core Forest Corridor),REF-SITE-02-Q01,10 m x 10 m (100 m2),22.582,82.635,332.0,3.5,North,Upper Crest / Ridge,0,Lower Gondwana Raniganj (Ferruginous sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-02,Lemru Elephant Reserve (Core Forest Corridor),REF-SITE-02-Q02,10 m x 10 m (100 m2),22.582587,82.635291,329.9,4.2,North-East,Mid-Slope (Upper),60,Lower Gondwana Raniganj (Ferruginous sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-02,Lemru Elephant Reserve (Core Forest Corridor),REF-SITE-02-Q03,10 m x 10 m (100 m2),22.583084,82.634757,327.5,3.8,East,Mid-Slope (Lower),60,Lower Gondwana Raniganj (Ferruginous sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-02,Lemru Elephant Reserve (Core Forest Corridor),REF-SITE-02-Q04,10 m x 10 m (100 m2),22.583671,82.635437,324.8,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Lower Gondwana Raniganj (Ferruginous sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-02,Lemru Elephant Reserve (Core Forest Corridor),REF-SITE-02-Q05,10 m x 10 m (100 m2),22.584168,82.634903,323.0,1.5,Depression,Drainage / Swale Margin,60,Lower Gondwana Raniganj (Ferruginous sandstone),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-03,Pali Range (Chaiturgarh Hills Forest Beat),REF-SITE-03-Q01,10 m x 10 m (100 m2),22.355,82.385,328.5,3.5,North,Upper Crest / Ridge,0,Lower Gondwana Barakar (Sandstone plateau),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-03,Pali Range (Chaiturgarh Hills Forest Beat),REF-SITE-03-Q02,10 m x 10 m (100 m2),22.355587,82.385291,326.4,4.2,North-East,Mid-Slope (Upper),60,Lower Gondwana Barakar (Sandstone plateau),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-03,Pali Range (Chaiturgarh Hills Forest Beat),REF-SITE-03-Q03,10 m x 10 m (100 m2),22.356084,82.384757,324.0,3.8,East,Mid-Slope (Lower),60,Lower Gondwana Barakar (Sandstone plateau),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-03,Pali Range (Chaiturgarh Hills Forest Beat),REF-SITE-03-Q04,10 m x 10 m (100 m2),22.356671,82.385437,321.3,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Lower Gondwana Barakar (Sandstone plateau),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-03,Pali Range (Chaiturgarh Hills Forest Beat),REF-SITE-03-Q05,10 m x 10 m (100 m2),22.357168,82.384903,319.5,1.5,Depression,Drainage / Swale Margin,60,Lower Gondwana Barakar (Sandstone plateau),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-04,"Tiwarta Forest Beat (Katghora East, Compt. 88)",REF-SITE-04-Q01,10 m x 10 m (100 m2),22.4618,82.5431,305.6,3.5,North,Upper Crest / Ridge,0,Lower Gondwana Barakar (Siltstone/shale alluvium),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-04,"Tiwarta Forest Beat (Katghora East, Compt. 88)",REF-SITE-04-Q02,10 m x 10 m (100 m2),22.462387,82.543391,303.5,4.2,North-East,Mid-Slope (Upper),60,Lower Gondwana Barakar (Siltstone/shale alluvium),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-04,"Tiwarta Forest Beat (Katghora East, Compt. 88)",REF-SITE-04-Q03,10 m x 10 m (100 m2),22.462884,82.542857,301.1,3.8,East,Mid-Slope (Lower),60,Lower Gondwana Barakar (Siltstone/shale alluvium),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-04,"Tiwarta Forest Beat (Katghora East, Compt. 88)",REF-SITE-04-Q04,10 m x 10 m (100 m2),22.463471,82.543537,298.4,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Lower Gondwana Barakar (Siltstone/shale alluvium),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-04,"Tiwarta Forest Beat (Katghora East, Compt. 88)",REF-SITE-04-Q05,10 m x 10 m (100 m2),22.463968,82.543003,296.6,1.5,Depression,Drainage / Swale Margin,60,Lower Gondwana Barakar (Siltstone/shale alluvium),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-05,"Kudmura Forest Range (Eastern Corridor, Compt. 204)",REF-SITE-05-Q01,10 m x 10 m (100 m2),22.428,82.815,322.0,3.5,North,Upper Crest / Ridge,0,Raniganj Formation (Sandstone/ferruginous shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-05,"Kudmura Forest Range (Eastern Corridor, Compt. 204)",REF-SITE-05-Q02,10 m x 10 m (100 m2),22.428587,82.815291,319.9,4.2,North-East,Mid-Slope (Upper),60,Raniganj Formation (Sandstone/ferruginous shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-05,"Kudmura Forest Range (Eastern Corridor, Compt. 204)",REF-SITE-05-Q03,10 m x 10 m (100 m2),22.429084,82.814757,317.5,3.8,East,Mid-Slope (Lower),60,Raniganj Formation (Sandstone/ferruginous shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-05,"Kudmura Forest Range (Eastern Corridor, Compt. 204)",REF-SITE-05-Q04,10 m x 10 m (100 m2),22.429671,82.815437,314.8,2.0,Flat-North,Lower Bench / Colluvial Toe,60,Raniganj Formation (Sandstone/ferruginous shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
Unmined Reference Forest,REF-SITE-05,"Kudmura Forest Range (Eastern Corridor, Compt. 204)",REF-SITE-05-Q05,10 m x 10 m (100 m2),22.430168,82.814903,313.0,1.5,Depression,Drainage / Swale Margin,60,Raniganj Formation (Sandstone/ferruginous shale),Subsample (nested within independent site block),Treated as random effect subsample in LMM: 1 | Site_ID
