Quadrat_ID,Mining_type,Spatial_Zone,NDVI_Monsoon,NDVI_Summer,NDVI_Winter,EVI_Monsoon,EVI_Summer,EVI_Winter,NDRE_Monsoon,NDRE_Summer,NDRE_Winter,NDWI_Monsoon,NDWI_Summer,NDWI_Winter,NDWI_Moisture_Monsoon,NDWI_Moisture_Summer,NDWI_Moisture_Winter,RedEdge_Slope_Monsoon,RedEdge_Slope_Summer,RedEdge_Slope_Winter,SWIR_Ratio_Monsoon,SWIR_Ratio_Summer,SWIR_Ratio_Winter,Delta_NDVI_Monsoon_minus_Summer,Delta_NDVI_Winter_minus_Monsoon,Delta_NDRE_Monsoon_minus_Summer,Delta_NDRE_Winter_minus_Monsoon,Seasonal_NDVI_Amplitude,Winter_to_Monsoon_Ratio,Summer_to_Monsoon_Ratio,Winter_to_Monsoon_NDRE_Ratio,Zone_Dimensions,Descriptive_Classification_Rule,Field_Ecological_Audit_Notes,NDVI_GreenSeason,EVI_GreenSeason,NDRE_GreenSeason,NDWI_GreenSeason,NDWI_Moisture_GreenSeason,RedEdge_Slope_GreenSeason,SWIR_Ratio_GreenSeason,Delta_NDVI_GreenSeason_minus_Summer,Delta_NDVI_Winter_minus_GreenSeason,Winter_to_GreenSeason_Ratio,Summer_to_GreenSeason_Ratio,Winter_to_GreenSeason_NDRE_Ratio,NDVI_Summer_3dec,NDVI_GreenSeason_3dec,NDVI_Winter_3dec,Seasonal_NDVI_Amplitude_3dec,Winter_to_GreenSeason_Ratio_3dec,Summer_to_GreenSeason_Ratio_3dec
OC-Q3,Opencast,Zone_C_50m,0.3121,0.2264499999999999,0.29295,0.2034,0.131,0.1752,0.1728,0.1265,0.1555,-0.3653,-0.32465,-0.3661,-0.0279,-0.1886,-0.0660999999999999,0.1832,0.11535,0.15075,1.35785,1.2405,1.358,0.0856,-0.0192,0.0463,-0.0173,0.0856,0.9386,0.7256,0.8999,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.3121,0.2034,0.1728,-0.3653,-0.0279,0.1832,1.35785,0.0856,-0.0192,0.9386,0.7256,0.8999,0.226,0.312,0.293,0.086,0.939,0.726
OC-Q3,Opencast,Zone_D_100m,0.3308999999999999,0.2339,0.3055,0.2218,0.1351,0.1868,0.18865,0.12705,0.16705,-0.3792,-0.3287,-0.3839,-0.02115,-0.1697,-0.06405,0.1956,0.11945,0.1568,1.3943,1.26415,1.41875,0.097,-0.0254,0.0616,-0.0216,0.097,0.9232,0.7069,0.8855,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.3308999999999999,0.2218,0.18865,-0.3792,-0.02115,0.1956,1.3943,0.097,-0.0254,0.9232,0.7069,0.8855,0.234,0.331,0.306,0.097,0.923,0.707
OC-Q4,Opencast,Zone_A_10m,0.6666,0.4159,0.6703,0.4087999999999999,0.2202,0.3885,0.41525,0.2205,0.42735,-0.5892999999999999,-0.45785,-0.6032500000000001,0.11395,-0.15745,0.1441,0.4124,0.17315,0.3932,1.78485,1.372,2.0364,0.2507,0.0037,0.1948,0.0121,0.2507,1.0055,0.6239,1.0291,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Persistent Greenness Signal,Revegetated spoil bench with Holarrhena pubescens thicket (5 verified stems); high persistence ratio (1.006).,0.6666,0.4087999999999999,0.41525,-0.5892999999999999,0.11395,0.4124,1.78485,0.2507,0.0037,1.0055,0.6239,1.0291,0.416,0.667,0.67,0.251,1.006,0.624
OC-Q4,Opencast,Zone_B_50m,0.64145,0.3591,0.6468499999999999,0.3943,0.18565,0.3548,0.3982,0.1911,0.38585,-0.58125,-0.41755,-0.58385,0.1046999999999999,-0.17015,0.12955,0.3979999999999999,0.1701,0.37305,1.7492,1.33685,1.9572,0.2824,0.0054,0.2071,-0.0123,0.2824,1.0084,0.5598,0.969,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.64145,0.3943,0.3982,-0.58125,0.1046999999999999,0.3979999999999999,1.7492,0.2824,0.0054,1.0084,0.5598,0.969,0.359,0.641,0.647,0.282,1.008,0.56
OC-Q4,Opencast,Zone_C_50m,0.6176,0.31615,0.6093,0.3864499999999999,0.16505,0.3378,0.3792,0.1679999999999999,0.36185,-0.562,-0.3865,-0.56025,0.09385,-0.18675,0.0991,0.3804499999999999,0.1508499999999999,0.3453,1.71135,1.30045,1.8809,0.3015,-0.0083,0.2112,-0.0173,0.3015,0.9866,0.5119,0.9542,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.6176,0.3864499999999999,0.3792,-0.562,0.09385,0.3804499999999999,1.71135,0.3015,-0.0083,0.9866,0.5119,0.9542,0.316,0.618,0.609,0.302,0.987,0.512
OC-Q4,Opencast,Zone_D_100m,0.5841500000000001,0.2769,0.5699000000000001,0.3737,0.14595,0.32225,0.3558,0.1468499999999999,0.3363,-0.53965,-0.3611999999999999,-0.5398,0.0765,-0.2041,0.06975,0.35465,0.1306,0.3166,1.65325,1.2669,1.80175,0.3073,-0.0142,0.209,-0.0195,0.3073,0.9756,0.474,0.9452,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.5841500000000001,0.3737,0.3558,-0.53965,0.0765,0.35465,1.65325,0.3073,-0.0142,0.9756,0.474,0.9452,0.277,0.584,0.57,0.307,0.976,0.474
OC-Q5,Opencast,Zone_A_10m,0.49915,0.2137,0.46955,0.34895,0.1134,0.26275,0.2678,0.08615,0.2577,-0.4759,-0.3081,-0.5034500000000001,0.04425,-0.18945,-0.00665,0.28385,0.11305,0.23895,1.55705,1.2845,1.5978,0.2854,-0.0296,0.1816,-0.0101,0.2854,0.9407,0.4281,0.9623,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Pronounced Seasonal Flush,"Open-canopy spoil bench; pronounced late-monsoon spectral peak (Oct 6 = 0.749, Amplitude = 0.285) followed by post-monsoon decline.",0.49915,0.34895,0.2678,-0.4759,0.04425,0.28385,1.55705,0.2854,-0.0296,0.9407,0.4281,0.9623,0.214,0.499,0.47,0.285,0.941,0.428
OC-Q5,Opencast,Zone_B_50m,0.48435,0.2299,0.45435,0.3338,0.12645,0.25825,0.28105,0.1134999999999999,0.2526,-0.4714,-0.3222,-0.5031,0.04265,-0.19055,-0.0026499999999999,0.2816499999999999,0.1136,0.2314999999999999,1.556,1.2836,1.5981999999999998,0.2544,-0.03,0.1676,-0.0285,0.2544,0.9381,0.4747,0.8988,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.48435,0.3338,0.28105,-0.4714,0.04265,0.2816499999999999,1.556,0.2544,-0.03,0.9381,0.4747,0.8988,0.23,0.484,0.454,0.254,0.938,0.475
OC-Q5,Opencast,Zone_C_50m,0.4779,0.2363,0.4554,0.3208999999999999,0.13035,0.2617,0.27595,0.1188999999999999,0.25665,-0.46775,-0.3241,-0.4992499999999999,0.0377499999999999,-0.19405,-0.00135,0.27635,0.11215,0.2276,1.54785,1.2766,1.5941,0.2416,-0.0225,0.1571,-0.0193,0.2416,0.9529,0.4945,0.9301,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.4779,0.3208999999999999,0.27595,-0.46775,0.0377499999999999,0.27635,1.54785,0.2416,-0.0225,0.9529,0.4945,0.9301,0.236,0.478,0.455,0.242,0.953,0.494
OC-Q5,Opencast,Zone_D_100m,0.48155,0.2478,0.4644,0.31765,0.1387499999999999,0.26585,0.27615,0.12385,0.2603999999999999,-0.46985,-0.32885,-0.49695,0.03845,-0.17925,0.0052999999999999,0.2794,0.12,0.23595,1.54115,1.2724,1.5969000000000002,0.2338,-0.0172,0.1523,-0.0158,0.2338,0.9644,0.5146,0.943,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.48155,0.31765,0.27615,-0.46985,0.03845,0.2794,1.54115,0.2338,-0.0172,0.9644,0.5146,0.943,0.248,0.482,0.464,0.234,0.964,0.515
UG-Q1,Underground,Zone_A_10m,0.5186999999999999,0.3169,0.5776,0.3764999999999999,0.1933,0.3496,0.22855,0.0698999999999999,0.26565,-0.49585,-0.4248,-0.5542,0.0381499999999999,-0.1318,-0.0025,0.26865,0.12045,0.25555,1.4258000000000002,1.2485,1.47005,0.2018,0.0589,0.1587,0.0371,0.2018,1.1136,0.6109,1.1623,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Persistent Greenness Signal,"Shorea robusta stand with Ziziphus mauritiana in understory; high dry-season spectral persistence (winter-to-green-season ratio 1.114). High persistence ratios identify relatively strong dry-season spectral retention, but do not by themselves demonstrate perennial woody cover, rooting depth, or year-round soil stabilization.",0.5186999999999999,0.3764999999999999,0.22855,-0.49585,0.0381499999999999,0.26865,1.4258000000000002,0.2018,0.0589,1.1136,0.6109,1.1623,0.317,0.519,0.578,0.202,1.114,0.611
UG-Q1,Underground,Zone_B_50m,0.42035,0.2517,0.4165,0.308,0.16335,0.2543499999999999,0.22725,0.10325,0.2307,-0.4428999999999999,-0.353,-0.46805,0.0247499999999999,-0.12975,-0.0208,0.25565,0.1144,0.2388,1.39655,1.2401,1.43455,0.1687,-0.0039,0.124,0.0035,0.1687,0.9908,0.5988,1.0152,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.42035,0.308,0.22725,-0.4428999999999999,0.0247499999999999,0.25565,1.39655,0.1687,-0.0039,0.9908,0.5988,1.0152,0.252,0.42,0.416,0.169,0.991,0.599
UG-Q1,Underground,Zone_C_50m,0.3921,0.2238,0.3806,0.287,0.1469,0.23315,0.23525,0.11305,0.23285,-0.4348499999999999,-0.3431,-0.45425,0.0170999999999999,-0.13155,-0.03905,0.24705,0.1099,0.2213,1.3752,1.2272,1.40965,0.1683,-0.0115,0.1222,-0.0024,0.1683,0.9707,0.5708,0.9898,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.3921,0.287,0.23525,-0.4348499999999999,0.0170999999999999,0.24705,1.3752,0.1683,-0.0115,0.9707,0.5708,0.9898,0.224,0.392,0.381,0.168,0.971,0.571
UG-Q1,Underground,Zone_D_100m,0.4379,0.2454,0.42665,0.3239,0.1582,0.2624499999999999,0.26615,0.12555,0.2571,-0.46935,-0.3611999999999999,-0.49035,0.0405,-0.1258,-0.0205,0.2685,0.1188,0.23945,1.42685,1.2393,1.45235,0.1925,-0.0113,0.1406,-0.0091,0.1925,0.9743,0.5604,0.966,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.4379,0.3239,0.26615,-0.46935,0.0405,0.2685,1.42685,0.1925,-0.0113,0.9743,0.5604,0.966,0.245,0.438,0.427,0.192,0.974,0.56
UG-Q2,Underground,Zone_A_10m,0.5943,0.3819,0.5354,0.3839,0.22205,0.2601,0.34855,0.1741,0.1842,-0.53935,-0.4448,-0.56985,0.1168999999999999,-0.11105,0.0378,0.35155,0.16575,0.28845,1.6165,1.34095,1.60595,0.2124,-0.0589,0.1745,-0.1644,0.2124,0.9009,0.6426,0.5285,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Persistent Greenness Signal,Terminalia elliptica and Shorea robusta canopy; relatively persistent dry-season spectral greenness (ratio 0.901).,0.5943,0.3839,0.34855,-0.53935,0.1168999999999999,0.35155,1.6165,0.2124,-0.0589,0.9009,0.6426,0.5285,0.382,0.594,0.535,0.212,0.901,0.643
UG-Q2,Underground,Zone_B_50m,0.5468500000000001,0.3139499999999999,0.4908,0.38345,0.19285,0.2829,0.3511,0.1609,0.25855,-0.52545,-0.38875,-0.5204,0.1070499999999999,-0.1176,0.0151,0.3384,0.1489,0.2589,1.5773,1.30435,1.54475,0.2329,-0.0561,0.1902,-0.0926,0.2329,0.8975,0.5741,0.7364,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.5468500000000001,0.38345,0.3511,-0.52545,0.1070499999999999,0.3384,1.5773,0.2329,-0.0561,0.8975,0.5741,0.7364,0.314,0.547,0.491,0.233,0.898,0.574
UG-Q2,Underground,Zone_C_50m,0.5141,0.2716,0.4176499999999999,0.36395,0.1718,0.2471,0.3244,0.14205,0.23845,-0.5056,-0.3593499999999999,-0.47765,0.09595,-0.1226,-0.0141,0.323,0.13355,0.2232,1.533,1.2721,1.46685,0.2425,-0.0965,0.1824,-0.086,0.2425,0.8124,0.5283,0.735,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.5141,0.36395,0.3244,-0.5056,0.09595,0.323,1.533,0.2425,-0.0965,0.8124,0.5283,0.735,0.272,0.514,0.418,0.242,0.812,0.528
UG-Q2,Underground,Zone_D_100m,0.4751,0.24975,0.3746,0.3409,0.1626,0.22735,0.3088,0.13355,0.23005,-0.48145,-0.34205,-0.45135,0.08495,-0.11745,-0.0299,0.3066,0.1283,0.21055,1.48965,1.26045,1.4195,0.2254,-0.1005,0.1753,-0.0788,0.2254,0.7885,0.5257,0.745,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.4751,0.3409,0.3088,-0.48145,0.08495,0.3066,1.48965,0.2254,-0.1005,0.7885,0.5257,0.745,0.25,0.475,0.375,0.225,0.788,0.526
UG-Q3,Underground,Zone_A_10m,0.55255,0.4777,0.46465,0.29105,0.2597,0.17945,0.2502,0.26095,0.1103,-0.47235,-0.44315,-0.4202,0.1343,-0.0028,0.119,0.2226,0.1769,0.2117,1.5096500000000002,1.37785,1.58245,0.0748,-0.0879,-0.0108,-0.1399,0.0748,0.8409,0.8645,0.4408,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Disturbed Transition (Sal Stand Phenology),Shorea robusta (Sal) stand; low seasonal amplitude (0.075) consistent with spring foliar renewal; winter-to-green-season ratio 0.841.,0.55255,0.29105,0.2502,-0.47235,0.1343,0.2226,1.5096500000000002,0.0748,-0.0879,0.8409,0.8645,0.4408,0.478,0.553,0.465,0.075,0.841,0.864
UG-Q3,Underground,Zone_B_50m,0.4004999999999999,0.2739,0.34865,0.2758,0.1623,0.1856,0.23155,0.15465,0.15755,-0.3605,-0.27785,-0.3503,0.0987,-0.05215,0.07565,0.21705,0.1302,0.1775499999999999,1.49355,1.37535,1.5234,0.1266,-0.0518,0.0769,-0.074,0.1266,0.8705,0.6839,0.6804,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.4004999999999999,0.2758,0.23155,-0.3605,0.0987,0.21705,1.49355,0.1266,-0.0518,0.8705,0.6839,0.6804,0.274,0.4,0.349,0.127,0.87,0.684
UG-Q3,Underground,Zone_C_50m,0.33015,0.1956999999999999,0.3035,0.23785,0.1241999999999999,0.1675499999999999,0.18635,0.0846,0.154,-0.3125,-0.2138,-0.33345,0.0583,-0.0911,0.0355,0.2084,0.1033,0.1635,1.46415,1.3555,1.4454,0.1345,-0.0267,0.1017,-0.0323,0.1345,0.9193,0.5928,0.8264,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.33015,0.23785,0.18635,-0.3125,0.0583,0.2084,1.46415,0.1345,-0.0267,0.9193,0.5928,0.8264,0.196,0.33,0.304,0.134,0.919,0.593
UG-Q3,Underground,Zone_D_100m,0.3485,0.2211,0.3129,0.24705,0.13885,0.18425,0.20495,0.1005,0.18385,-0.35285,-0.2676,-0.36665,0.046,-0.0877,0.00805,0.2274,0.1259,0.17595,1.44465,1.32465,1.4137,0.1274,-0.0356,0.1045,-0.0211,0.1274,0.8978,0.6344,0.897,"Radius 100 m disc (317 pixels, 3.17 ha)",N/A (Multi-scale support),"Aggregated across Radius 100 m disc (317 pixels, 3.17 ha)",0.3485,0.24705,0.20495,-0.35285,0.046,0.2274,1.44465,0.1274,-0.0356,0.8978,0.6344,0.897,0.221,0.348,0.313,0.127,0.898,0.634
UG-Q4,Underground,Zone_A_10m,0.6267,0.4656,0.5770500000000001,0.4246,0.3062,0.33965,0.3774,0.2775999999999999,0.3742499999999999,-0.58565,-0.47665,-0.55705,0.1163,-0.02835,0.11585,0.3624,0.2359,0.3264,1.5966,1.40455,1.6358,0.1611,-0.0496,0.0998,-0.0032,0.1611,0.9208,0.7429,0.9917,"10 × 10 m (1 pixel, 0.01 ha nominal support)",Persistent Greenness Signal,"Mixed woodland (Diospyros melanoxylon, Wrightia tinctoria); high multi-season spectral retention (ratio 0.921).",0.6267,0.4246,0.3774,-0.58565,0.1163,0.3624,1.5966,0.1611,-0.0496,0.9208,0.7429,0.9917,0.466,0.627,0.577,0.161,0.921,0.743
UG-Q4,Underground,Zone_B_50m,0.59205,0.43455,0.54645,0.39795,0.27425,0.30725,0.3676,0.2584,0.3460499999999999,-0.55025,-0.4523,-0.5328999999999999,0.1161499999999999,-0.0184,0.11105,0.35885,0.23945,0.3184,1.5956,1.39365,1.6449,0.1575,-0.0456,0.1092,-0.0216,0.1575,0.923,0.734,0.9414,"50 × 50 m (25 pixels, 0.25 ha)",N/A (Multi-scale support),"Aggregated across 50 × 50 m (25 pixels, 0.25 ha)",0.59205,0.39795,0.3676,-0.55025,0.1161499999999999,0.35885,1.5956,0.1575,-0.0456,0.923,0.734,0.9414,0.435,0.592,0.546,0.158,0.923,0.734
UG-Q4,Underground,Zone_C_50m,0.5881000000000001,0.4456,0.5238499999999999,0.37885,0.2749,0.28415,0.36445,0.2649,0.32345,-0.55025,-0.45155,-0.5143,0.12195,-0.0004,0.1094,0.3647,0.255,0.3214,1.58775,1.4035,1.63925,0.1425,-0.0643,0.0996,-0.041,0.1425,0.8907,0.7577,0.8875,"Radius 50 m disc (81 pixels, 0.81 ha)",N/A (Multi-scale support),"Aggregated across Radius 50 m disc (81 pixels, 0.81 ha)",0.5881000000000001,0.37885,0.36445,-0.55025,0.12195,0.3647,1.58775,0.1425,-0.0643,0.8907,0.7577,0.8875,0.446,0.588,0.524,0.142,0.891,0.758
