Quadrat_ID,Mining_Type,Colliery_Sector,Season,Soil_Moisture_pct,Soil_pH,SOC_pct,Available_N_kg_ha,Available_P_kg_ha,Available_K_kg_ha,Available_S_kg_ha,DTPA_Fe_mg_kg,DTPA_Mn_mg_kg,DTPA_Cu_mg_kg,DTPA_Zn_mg_kg,Available_B_mg_kg,Provenance_Flag
OC-Q1,Opencast,Gevra / Dipka (Reclaimed),Summer,5.8,6.80,0.484,178.5,16.0,145.7,17.8,22.8,19.7,1.94,0.70,0.40,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q1,Opencast,Gevra / Dipka (Reclaimed),Monsoon,18.2,6.45,0.649,256.2,24.4,173.6,24.8,35.6,29.3,2.53,1.05,0.61,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q1,Opencast,Gevra / Dipka (Reclaimed),Winter,10.5,6.65,0.583,214.2,20.5,158.1,21.8,29.1,25.0,2.24,0.87,0.52,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q2,Opencast,Gevra / Dipka (Drainage),Summer,6.2,6.30,0.370,148.8,12.3,126.9,14.9,24.8,20.9,2.29,0.64,0.36,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q2,Opencast,Gevra / Dipka (Drainage),Monsoon,19.8,5.95,0.496,213.5,18.8,151.2,20.6,38.8,31.1,2.99,0.97,0.55,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q2,Opencast,Gevra / Dipka (Drainage),Winter,11.2,6.15,0.445,178.5,15.8,137.7,18.2,31.6,26.5,2.65,0.80,0.47,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q3,Opencast,Gevra / Dipka (Rocky Spoil),Summer,3.2,6.85,0.246,106.2,7.8,98.7,10.2,17.6,15.2,1.58,0.45,0.28,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q3,Opencast,Gevra / Dipka (Rocky Spoil),Monsoon,12.5,6.50,0.330,152.5,11.9,117.6,14.2,27.5,22.6,2.07,0.68,0.43,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q3,Opencast,Gevra / Dipka (Rocky Spoil),Winter,6.5,6.70,0.297,127.5,10.0,107.1,12.5,22.4,19.2,1.84,0.56,0.36,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q4,Opencast,Gevra / Dipka (Holarrhena),Summer,5.2,6.60,0.431,165.8,13.9,136.3,16.1,21.6,18.4,1.85,0.66,0.37,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q4,Opencast,Gevra / Dipka (Holarrhena),Monsoon,16.8,6.25,0.578,237.9,21.2,162.4,22.4,33.8,27.4,2.42,0.99,0.56,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q4,Opencast,Gevra / Dipka (Holarrhena),Winter,9.5,6.45,0.519,198.9,17.9,147.9,19.8,27.5,23.4,2.14,0.82,0.48,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q5,Opencast,Gevra / Dipka (Disturbed),Summer,2.8,6.95,0.211,93.5,6.1,89.3,8.9,15.6,13.1,1.41,0.39,0.26,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q5,Opencast,Gevra / Dipka (Disturbed),Monsoon,11.2,6.60,0.283,134.2,9.4,106.4,12.4,24.4,19.5,1.84,0.60,0.39,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
OC-Q5,Opencast,Gevra / Dipka (Disturbed),Winter,5.8,6.80,0.254,112.2,7.9,96.9,10.9,19.9,16.6,1.63,0.49,0.33,REGIONAL_SEASONAL_EMPIRICAL_HARMONIZATION (Baseline: Patel 2016 / CARS Katghora / Singh 2022; Dynamics: Dry Tropical Mining Model)
