Quadrat,Mining,Stratum,Species_Name,Family,Growth_Habit,Summer,Monsoon,Winter
OC-Q2,Opencast,Herb,Cynodon dactylon (L.) Pers.,Poaceae,Perennial graminoid,+ (Brown dormant turf),+ (Green turf along drainage),+ (Green-brown turf)
OC-Q3,Opencast,Shrub,Phanera vahlii (syn. Bauhinia vahlii),Fabaceae,Giant woody climber / Liana (Tier 1 stem #4),+ (Thick woody cables / Early flush),+ (Massive foliar canopy on trees),+ (Mature pods / Leathery leaves)
OC-Q3,Opencast,Shrub,Lantana camara L.,Verbenaceae,Perennial invasive shrub,+ (Stunted thorny scrub),+ (Vigorous green shoots),+ (Flowering & fruiting)
OC-Q3,Opencast,Herb,Euphorbia hirta L.,Euphorbiaceae,Annual forb,− (Absent / Severe spoil drought),+ (Spreading in rocky spoil crevices),− (Senescent / Dry)
OC-Q3,Opencast,Herb,Acalypha indica L.,Euphorbiaceae,Annual ruderal forb,− (Absent on bare rocks),+ (Active flush in sediment pockets),− (Dying back)
OC-Q3,Opencast,Herb,Heteropogon contortus (L.) P.Beauv.,Poaceae,Perennial spear grass,+ (Golden dry tussocks),+ (Rapid vegetative green-up),+ (Dry black-awned spear grass)
OC-Q4,Opencast,Shrub,Holarrhena antidysenterica (syn. H. pubescens),Apocynaceae,Deciduous woody shrub / Small tree (5 Tier 1 stems),+ (White corymbose bloom / Early flush),+ (Impenetrable dense green thicket),+ (Paired slender pods / High leaf retention)
OC-Q4,Opencast,Shrub,Lantana camara L.,Verbenaceae,Perennial invasive shrub,+ (Drought-tolerant scrub),+ (Dense vigorous thicket),+ (Continuous flowering)
OC-Q4,Opencast,Herb,Hyptis suaveolens (L.) Poit.,Lamiaceae,Coarse aromatic herb,− (Absent / Dry skeletons),+ (Lush growth along thicket borders),+ (Blue flowers / Drying)
OC-Q4,Opencast,Herb,Senna tora (L.) Roxb.,Fabaceae,Annual legume forb,− (Absent / Soil seed bank),+ (Dense flush in unshaded gaps),− (Desiccated / Dry pods)
OC-Q4,Opencast,Herb,Cynodon dactylon (L.) Pers.,Poaceae,Perennial stoloniferous grass,+ (Dormant brown turf),+ (Vivid green patches),+ (Green-brown turf)
OC-Q5,Opencast,Shrub,Lantana camara L.,Verbenaceae,Sparse peripheral scrub on spoil,+ (Stunted scraggy bushes),+ (Flowering / Active shoots),+ (Persistent scrub)
OC-Q5,Opencast,Herb,Parthenium hysterophorus L.,Asteraceae,Aggressive annual weed,− (Absent / Soil seed bank),+ (Dense monospecific weed carpet),− (Abrupt senescence / Brittle stalks)
OC-Q5,Opencast,Herb,Senna tora (L.) Roxb.,Fabaceae,Annual monsoonal legume,− (Absent / Seed bank in spoil),+ (Dominant yellow carpet across plot),− (Desiccated / Brittle sickle pods)
OC-Q5,Opencast,Herb,Euphorbia hirta L.,Euphorbiaceae,Annual herbaceous weed,− (Absent on bare sunbaked spoil),+ (Abundant in ground layer),− (Dying back / Seed capsules)
